Compound,Structure,Class,Aglycon,220_nm,221_nm,222_nm,223_nm,224_nm,225_nm,226_nm,227_nm,228_nm,229_nm,230_nm,231_nm,232_nm,233_nm,234_nm,235_nm,236_nm,237_nm,238_nm,239_nm,240_nm,241_nm,242_nm,243_nm,244_nm,245_nm,246_nm,247_nm,248_nm,249_nm,250_nm,251_nm,252_nm,253_nm,254_nm,255_nm,256_nm,257_nm,258_nm,259_nm,260_nm,261_nm,262_nm,263_nm,264_nm,265_nm,266_nm,267_nm,268_nm,269_nm,270_nm,271_nm,272_nm,273_nm,274_nm,275_nm,276_nm,277_nm,278_nm,279_nm,280_nm,281_nm,282_nm,283_nm,284_nm,285_nm,286_nm,287_nm,288_nm,289_nm,290_nm,291_nm,292_nm,293_nm,294_nm,295_nm,296_nm,297_nm,298_nm,299_nm,300_nm,301_nm,302_nm,303_nm,304_nm,305_nm,306_nm,307_nm,308_nm,309_nm,310_nm,311_nm,312_nm,313_nm,314_nm,315_nm,316_nm,317_nm,318_nm,319_nm,320_nm,321_nm,322_nm,323_nm,324_nm,325_nm,326_nm,327_nm,328_nm,329_nm,330_nm,331_nm,332_nm,333_nm,334_nm,335_nm,336_nm,337_nm,338_nm,339_nm,340_nm,341_nm,342_nm,343_nm,344_nm,345_nm,346_nm,347_nm,348_nm,349_nm,350_nm,351_nm,352_nm,353_nm,354_nm,355_nm,356_nm,357_nm,358_nm,359_nm,360_nm,361_nm,362_nm,363_nm,364_nm,365_nm,366_nm,367_nm,368_nm,369_nm,370_nm,371_nm,372_nm,373_nm,374_nm,375_nm,376_nm,377_nm,378_nm,379_nm,380_nm,381_nm,382_nm,383_nm,384_nm,385_nm,386_nm,387_nm,388_nm,389_nm,390_nm,391_nm,392_nm,393_nm,394_nm,395_nm,396_nm,397_nm,398_nm,399_nm,400_nm,401_nm,402_nm,403_nm,404_nm,405_nm,406_nm,407_nm,408_nm,409_nm,410_nm,411_nm,412_nm,413_nm,414_nm,415_nm,416_nm,417_nm,418_nm,419_nm,420_nm,421_nm,422_nm,423_nm,424_nm,425_nm,426_nm,427_nm,428_nm,429_nm,430_nm,431_nm,432_nm,433_nm,434_nm,435_nm,436_nm,437_nm,438_nm,439_nm,440_nm,441_nm,442_nm,443_nm,444_nm,445_nm,446_nm,447_nm,448_nm,449_nm,450_nm
FL47,O=C1C(O)C(C2=CC=CC=C2)OC3=C1C=CC=C3,flavanonol,aglycon,29108,27298,25109,22383,19420,16416,13630,11324,9483.4,8091.4,7022.6,6225.7,5657.1,5259.9,4995.3,4872.5,4874.9,4969,5150.2,5387.8,5675.9,5989.5,6334.6,6721.1,7130.8,7535.2,7919.4,8249.7,8500.3,8686.6,8816,8896.2,8948.1,8935.4,8833.3,8633.2,8291.8,7847.9,7325.8,6765.4,6221.9,5691.7,5192.1,4698.6,4230.2,3786.1,3414.8,3117.4,2890.3,2739.8,2646.9,2600.2,2606.1,2638.6,2687.6,2750.1,2794.4,2814.1,2819.7,2814.5,2815.9,2822.9,2809.2,2772.4,2707.4,2607,2470.2,2306.5,2137,1979,1843.7,1739.6,1677.8,1642.5,1631.1,1629,1654.7,1715.5,1783.4,1865.9,1943,2023.2,2104.8,2211.3,2308.6,2413.9,2527.4,2624.8,2719.1,2817.7,2914.3,3004.7,3078.6,3140.6,3215.8,3267.2,3309.1,3335.4,3357,3378.1,3389.8,3391,3377.1,3341.2,3292.2,3224,3143.8,3044.5,2942.8,2817.3,2681.7,2530.2,2373.8,2232.2,2092.6,1958.4,1820.6,1691.8,1561.9,1439.6,1330.1,1221.9,1118.1,1013.6,922.85,831.73,740.67,651.72,561.82,481.39,424.61,359.24,317.8,269.61,227.04,181.83,146.27,145.49,134.72,127.17,129.04,100.23,90.542,95.866,88.395,88.395,72.407,74.891,65.004,46.091,61.573,48.475,76.649,58.903,56.317,67.353,50.689,48.559,46.125,26.03,32.773,49.32,46.244,24.323,40.751,30.508,26.925,26.959,30.272,40.041,20.401,16.497,31.928,13.742,20.097,15.652,12.83,17.106,25.134,16.818,26.841,23.292,26.486,20.773,25.269,32.469,10.869,9.1789,14.401,4.4973,36.289,27.027,23.579,18.677,13.404,15.044,19.472,28.277,30.356,12.407,11.292,14.013,10.311,11.883,21.382,17.883,20.249,15.415,18.39,16.294,17.038,10.886,24.272,13.539,27.196,13.421,2.7057,9.5169,16.599,33.263,28.953,25.675,11.376,8.8409,8.3,20.317,23.613,20.131,1.9789,12.677,10.024
FL48,O=C1C(O)C(C2=CC=C(O)C=C2)OC3=C1C=CC(O)=C3,flavanonol,aglycon,22103,21518,20996,20551,20163,19825,19511,19217,18931,18623,18252,17757,17071,16560,16513,16513,15730,14808,13840,12871,11885,10898,9911.6,8925.6,7862.4,6724.6,5516.4,4469.2,3976.3,3805.1,3806.4,3864.1,4010.6,4163.8,4382.1,4600.4,4843.1,5214,5584.9,5994.1,6418.3,6842.4,7315.6,7893.1,8470.7,9049.3,9678.9,10308,10923,11489,11964,12393,12817,13236,13396,13500,13470,13440,13306,13173,12873,12538,12113,11639,11166,10632,10080,9528.1,8988.3,8547.5,8106.8,7666.1,7381.9,7134.5,6887.1,6779.4,6682.3,6585.2,6520.5,6495.4,6470.2,6447.3,6464.9,6482.6,6500.2,6540.4,6585.2,6630,6681.6,6737.6,6793.5,6774.4,6755.2,6722.6,6674.9,6618.3,6497.2,6376.1,6202.6,6013.6,5787.1,5549.5,5311.9,5052.3,4784.2,4516,4241.2,3959.8,3678.4,3402.6,3127.6,2853.4,2580.1,2307.2,2076.1,1844.9,1820.6,1691.8,1561.9,1439.6,1330.1,1221.9,1118.1,1013.6,922.85,831.73,740.67,651.72,561.82,481.39,424.61,359.24,317.8,269.61,227.04,181.83,146.27,145.49,134.72,127.17,129.04,100.23,90.542,95.866,88.395,88.395,72.407,74.891,65.004,46.091,61.573,48.475,76.649,58.903,56.317,67.353,50.689,48.559,46.125,26.03,32.773,49.32,46.244,24.323,40.751,30.508,26.925,26.959,30.272,40.041,20.401,16.497,31.928,13.742,20.097,15.652,12.83,17.106,25.134,16.818,26.841,23.292,26.486,20.773,25.269,32.469,10.869,9.1789,14.401,4.4973,36.289,27.027,23.579,18.677,13.404,15.044,19.472,28.277,30.356,12.407,11.292,14.013,10.311,11.883,21.382,17.883,20.249,15.415,18.39,16.294,17.038,10.886,24.272,13.539,27.196,13.421,2.7057,9.5169,16.599,33.263,28.953,25.675,11.376,8.8409,8.3,20.317,23.613,20.131,1.9789,12.677,10.024
FL49,O=C1C(O)C(C2=CC(O)=C(O)C=C2)OC3=C1C=CC(O)=C3,flavanonol,aglycon,14782,14220,13707,13274,12980,12811,12950,13139,13413,13691,13977,14298,14628,14932,15125,15251,15108,14926,14623,14066,13124,11817,10223,8446.2,6597.2,5304.1,4685.1,4292.4,4083.8,3938.4,3863.2,3818.7,3872.1,3925.6,4054.1,4184.2,4476.7,4840.9,5347.6,6201.2,6785.6,7107.9,7427.7,7795.5,8163.4,8542.4,9003.7,9465.1,9976.9,10579,11180,11791,12408,13002,13497,13949,14291,14610,14705,14800,14638,14475,14189,13811,13432,12979,12452,11926,11450,10986,10522,10114,9718.5,9322.4,8938.9,8626,8313.1,8000.2,7675.5,7401.3,7191.9,7101.1,7090.1,7109.9,7137.4,7170.4,7203.5,7250.6,7298,7321.1,7332.1,7297.5,7241.4,7178.4,7076.5,6974.7,6851.7,6662,6472.3,6242.6,5996.5,5750.4,5453.9,5143.9,4833.9,4520.3,4191.2,3862.1,3533,3225.3,2932.5,2657.2,2443.8,2230.5,2033.4,1890.5,1747.7,1620.6,1528.6,1436.6,1349.9,1274.1,1203.3,1155.5,1107.8,1064.7,1034.2,1003.7,977.28,956.19,935.1,914,892.91,730.48,640.29,626.86,582.54,538.23,493.91,460.97,431.04,401.11,371.18,300,266.14,251.55,237.88,236.85,222.08,211.83,200.3,182.74,172.28,170.83,164.36,159.9,158.96,157.41,152,140.47,136.31,138.22,130.38,125.9,128.78,126.12,127.96,120.59,120.18,120.3,118.88,110.81,115.72,109.73,110.56,103.98,96.765,99.608,99.465,96.452,85.434,90.454,85.369,97.104,87.638,83.96,78.614,75.941,76.085,84.756,77.884,66.644,69.421,73.112,64.597,70.386,78.797,64.779,60.176,65.588,64.166,57.451,57.855,64.492,60.75,60.737,62.315,61.65,57.673,53.552,47.019,58.429,65.301,62.823,68.378,66.866,52.913,48.271,54.895,46.68,59.068,78.419,54.191,45.376,61.011,55.691,59.094,56.317,49.627,61.467,49.875
FL50,O=C1C(O)C(C2=CC(O)=C(O)C=C2)OC3=C1C(O)=CC(O)=C3,flavanonol,aglycon,22103,21518,20996,20551,20163,19825,19511,19217,18931,18623,18252,17757,17071,16106,14926,13668,12409,11199,10056,8882.2,7606,6273.6,4995.6,3957.1,3208,2712.4,2401,2219,2114.8,2068.4,2063.2,2092.7,2145.9,2213.8,2311.9,2422,2548,2681.6,2830.5,3003.4,3199,3420.9,3680.4,3979.3,4305.9,4680.9,5100.8,5538,6028.5,6561.9,7124.5,7721.2,8344,8994.4,9676.9,10367,11066,11780,12487,13186,13874,14530,15143,15703,16194,16613,16960,17236,17427,17500,17460,17286,16997,16616,16156,15650,15095,14496,13851,13203,12543,11868,11191,10502,9853.3,9223.3,8609,8039.6,7505.8,7025.9,6584.4,6180.7,5830.4,5531.4,5254.5,5018.2,4814.8,4634.2,4480.7,4357.2,4246,4148,4049.8,3970,3897.3,3830.6,3764.2,3700,3632.9,3572.5,3504.3,3438,3369.6,3291.3,3218.4,3132.7,3053,2971,2871.9,2784.5,2693,2597.7,2510.5,2417.6,2324.5,2231.3,2139.6,2048.3,1961.2,1874.5,1792.8,1718.2,1646.4,1579.3,1509.7,1449.1,1390,1346.6,1296.9,1250.5,1209.8,1189,1155.8,1123.5,1092.6,1060.4,1034.1,1012.9,984.59,966.83,953.49,940.04,906.27,892.06,887.69,879.49,857.61,843.51,823.58,820.92,793.09,788.8,764.24,736.99,734.6,714.42,682.68,663.34,631.17,603.71,585.82,534.73,516.54,477.58,448.56,411.43,386.58,347.98,326.15,298.51,270.49,247.69,223.09,202.87,194.87,181.4,154,147.57,135.18,117.17,102.88,99.625,96.704,79.608,77.934,64.353,58.791,54.773,54.14,47.183,49.638,50.792,42.96,38.569,36.802,35.481,42.867,37.639,33.268,25.696,19.948,36.002,24.543,27.147,25.417,27.78,31.891,31.482,33.472,38.923,34.495,30.142,22.701,31.835,29.138,24.431,28.747,32.319,30.979,26.738,19.055
FL51,O=C1C(O)C(C2=CC=C(O)C=C2O)OC3=C1C(O)=CC(O)=C3,flavanonol,aglycon,39795,38947,38099,37251,36483,35725,34967,34208,33286,32361,31436,30276,28960,27643,25806,23968,21834,19252,16671,13923,11000,8665.8,6550.1,4944.9,4056.4,3524.2,3288,3176.2,3088.6,3060.5,3058,3084.3,3131.2,3231.1,3384.4,3581.2,3806.1,4065.2,4324.4,4676.1,5145.5,5614.9,6084.4,6719.7,7375.5,8031.3,8732.1,9575.5,10419,11262,12106,12995,14041,15086,16131,17177,18210,19203,20196,21189,22149,23075,24000,24870,25610,26301,26713,27125,27297,27468,27548,27482,27229,26727,26225,25578,24709,23839,22970,22001,20932,19863,18795,17726,16784,15846,14908,14002,13141,12280,11454,10836,10285,9966.2,9647.4,9374.7,9204.4,9034.1,8863.8,8704,8586.3,8468.5,8350.7,8237.1,8133.8,8030.5,7927.2,7823.9,7691.9,7557,7422.2,7287.4,7138.6,6984.4,6830.2,6676,6521.8,6341.6,6158.2,5974.8,5791.5,5589.7,5350.4,5111.2,4872,4612.5,4344,4074.3,3773.3,3472.4,3187.1,3065.9,3017.6,2955.7,2883.7,2811.7,2739.3,2658.1,2577,2495.8,2411.3,2317.7,2224.1,2133.4,2053.5,1973.5,1893.6,1813,1730.3,1647.5,1564.7,1483.8,1405,1326.3,1247.5,1165.8,1077.4,989.02,905.37,829.76,754.16,681.26,609.76,539.45,485.02,430.59,380.91,331.48,326.15,298.51,270.49,247.69,223.09,202.87,194.87,181.4,154,147.57,135.18,117.17,102.88,99.625,96.704,79.608,77.934,64.353,58.791,54.773,54.14,47.183,49.638,50.792,42.96,38.569,36.802,35.481,42.867,37.639,33.268,25.696,19.948,36.002,24.543,27.147,25.417,27.78,31.891,31.482,33.472,38.923,34.495,30.142,22.701,31.835,29.138,24.431,28.747,32.319,30.979,26.738,19.055,19.055,19.055,19.055,19.055,19.055,19.055,19.055,19.055,19.055,19.055
FL52,O=C1C(O)C(C2=CC(O)=C(O)C(O)=C2)OC3=C1C(O)=CC(O)=C3,flavanonol,aglycon,16946,15876,14955,14178,13553,13049,12628,12280,11972,11697,11408,11073,10635,10046,9351.6,8638.7,8002.7,7464.7,7007,6539.8,5972.6,5302.4,4571.3,3892.5,3333.3,2895.9,2544.2,2265.5,2036.5,1862.2,1733.2,1633.3,1566.7,1528.9,1518.8,1530.5,1554.9,1599.8,1658,1734.3,1821.5,1926.6,2046.9,2179,2326.6,2490,2671.2,2875.9,3085.6,3317.6,3565.6,3832.5,4114.9,4409.3,4719,5034.9,5363.6,5697.5,6042.5,6396.9,6749.4,7097.8,7435.6,7767,8075.2,8363.7,8616,8837,9037.6,9198.6,9319.9,9387.9,9400,9352.7,9255.1,9102.9,8892.5,8646.8,8341.9,8004.5,7653.6,7262,6876.4,6468.4,6071.2,5674.1,5299.1,4929.4,4594.6,4280,3999,3744.8,3516.6,3315.6,3137.7,2987,2857.7,2749.2,2655.3,2566.6,2489.8,2426.6,2371.3,2315.8,2274.2,2229.1,2191.3,2155.7,2120.9,2082.5,2038.9,2000.4,1963.9,1921.5,1881.7,1834,1790.2,1739.6,1688.6,1638.4,1581.4,1523.6,1466.8,1409.3,1345.5,1290.1,1226.5,1163.7,1105.7,1049,990.71,937.75,884.2,839.75,781.15,737.88,693.47,656.8,624.89,596.41,567.75,539.98,512.55,480.63,452.95,435.43,422.86,409.1,388.18,373.74,356.04,352.77,331.36,319.18,314.57,312.79,307.93,302.45,291.88,280.58,275.56,272.44,268.88,262.61,252.24,242.43,239.64,225.69,234.22,222.28,205.09,191.54,188.23,176,176.38,155.33,154.26,140.62,127.27,118.73,106.17,98.175,86.454,73.413,75.075,70.231,61.707,49.901,43.182,42.556,42.841,38.65,34.274,25.495,27.966,20.977,14.939,11.402,6.941,7.5093,5.7477,5.0658,4.2702,14.172,11.331,7.1967,6.6711,7.6797,2.9632,9.1146,2.1961,8.4043,5.4493,1.1448,1.9877,1.9972,1.5994,3.6877,1.6704,5.0492,3.1195,4.1968,4.6657,4.9379,5.4067,4.3128,6.4438,8.4895,3.8857,6.7279,1.9404
FL53,COC1=C(C=CC(=C1)C2C(OC3=C(O2)C=C(C=C3)C4C(C(=O)C5=C(C=C(C=C5O4)O)O)O)CO)O,flavanonol,aglycon,34484,33391,32551,31989,31583,31116,30764,30590,30345,30216,30034,29657,29066,28075,26792,25243,23575,21863,20099,18080,15753,13212,10660,8412.2,6597.5,5243.8,4237.1,3515,3010.3,2668.5,2453.1,2334.9,2285.6,2280.3,2336.5,2426.3,2546.9,2716.5,2921.9,3165.8,3442.1,3756.1,4115.7,4531.2,4978.3,5498.8,6060.2,6682,7323.5,8036.6,8790.6,9605.8,10455,11329,12255,13217,14202,15196,16159,17081,17970,18796,19502,20087,20641,21160,21664,22050,22200,22005,21480,20794,20022,19283,18529,17805,17078,16357,15607,14852,14117,13344,12575,11818,11034,10311,9618.3,8931.3,8320,7728.9,7206.9,6742.2,6317.5,5944.5,5626.2,5340.7,5102.3,4885,4711.9,4575,4438.7,4317.6,4232.2,4141.6,4062.5,3993.4,3912.8,3841.7,3779.9,3717.1,3668.8,3588.2,3518.4,3442.7,3361.7,3275.8,3190.8,3093.5,2978.6,2869.9,2762.6,2651.7,2543.4,2414.3,2280.9,2161.8,2044.3,1918.7,1802.9,1682.8,1554.3,1443.8,1343.5,1233.1,1144.1,1041,954.93,872.16,802.02,732.83,668.34,597.17,543.15,480.33,435.06,382.66,332.86,318.59,287.59,260.31,230.17,194.88,177.87,183.16,161.82,162.4,133.38,108.38,105.17,94.793,91.068,83.143,75.49,78.279,78.211,57.037,53.789,64.69,56.935,29.672,61.408,52.734,64.537,48.499,39.52,40.591,42.309,47.734,41.254,33.244,28.465,31.815,12.597,21.798,28.363,41.305,33.89,17.512,28.312,27.427,30.37,25.829,34.877,39.145,18.686,22.325,14.485,26.424,22.257,18.176,9.3148,25.829,31.271,23.431,10.352,26.781,22.648,19.638,11.662,23.108,25.693,29.519,13.414,8.7195,29.672,20.71,23.465,30.897,21.985,22.342,21.526,34.945,16.254,14.315,14.655,17.954,4.2636,23.941,28.38,16.441,41.016
FL54,O=C(C1=C(O)C=C(O)C=C1O2)C(O)C2C3=CC(OC4C(O)C(O)C(O)C(CO)O4)=C(O)C=C3,flavanonol,glycoside,25000,24498,24064,23633,23201,22817,22458,22098,21741,21391,21007,20401,19795,19066,17964,16303,14268,12667,11152,9652.4,8237,6925.5,5763.7,4762.2,4086.3,3618.7,3232.1,3026.5,2918.5,2810.4,2741.2,2705.2,2669.1,2696.3,2732.2,2768,2824.8,2928.2,3031.5,3134.9,3238.3,3425.8,3631.9,3837.9,4129.6,4514.1,4898.5,5283,5735.8,6196.1,6656.5,7116.9,7606,8121.8,8637.5,9153.3,9682.4,10220,10758,11295,11854,12419,12983,13490,13884,14279,14603,14845,15086,15237,15362,15431,15500,15462,15424,15259,15039,14657,14274,13819,13357,12894,12399,11862,11326,10776,10182,9587.8,8993.6,8390,7785.1,7228.2,6764.3,6349,6065,5780.9,5597.6,5418.5,5256.4,5166.7,5077.1,4987.4,4916.7,4857.7,4798.6,4739.6,4680.5,4619.8,4559,4498.2,4437.5,4376.7,4306.6,4226.5,4146.3,4066.2,3986,3902.2,3809.7,3717.1,3624.5,3531.9,3423.9,3297,3170.1,3043.2,2900.3,2743.9,2587.4,2430.9,2305,2180.4,2055.8,1951.9,1860.5,1769.2,1677.9,1589.7,1511.6,1433.6,1355.5,1288.5,1230.7,1172.8,1115,1062.7,1018.8,974.81,930.86,887.67,869.17,850.67,832.17,821.58,816.95,812.33,809.61,822.26,834.91,865.31,908.56,892.06,887.69,879.49,857.61,843.51,823.58,820.92,793.09,788.8,764.24,736.99,734.6,714.42,682.68,663.34,631.17,603.71,585.82,534.73,516.54,477.58,448.56,411.43,386.58,347.98,326.15,298.51,270.49,247.69,223.09,202.87,194.87,181.4,154,147.57,135.18,117.17,102.88,99.625,96.704,79.608,77.934,64.353,58.791,54.773,54.14,47.183,49.638,50.792,42.96,38.569,36.802,35.481,42.867,37.639,33.268,25.696,19.948,36.002,24.543,27.147,25.417,27.78,27.78,27.78,27.78,27.78,27.78,27.78,27.78
FL55,O=C1C(C2=CC=C(O)C=C2)COC3=C1C=CC(O)=C3,isoflavanone,aglycon,36048,34071,32057,30292,29034,28189,27596,27062,26495,25816,24851,23739,22410,20988,19580,18353,17267,16300,15365,14356,13189,11829,10274,8653.1,7171.4,6011.3,5204.5,4764.8,4620.4,4680.9,4890.5,5210.7,5615.3,6088.8,6625.2,7216.5,7872.2,8584.4,9353.2,10162,11030,11927,12842,13822,14817,15801,16799,17757,18682,19577,20425,21186,21873,22463,22931,23276,23477,23533,23428,23146,22710,22207,21621,20942,20196,19368,18446,17459,16445,15467,14542,13712,13028,12445,11971,11622,11375,11204,11132,11117,11160,11233,11341,11468,11574,11716,11854,11993,12132,12264,12362,12456,12541,12540,12485,12360,12164,11895,11566,11173,10744,10288,9808.5,9322.1,8855.7,8369,7851.8,7323.8,6759.5,6192.4,5618.2,5063.1,4505.3,3990.8,3498.9,3047.7,2641.4,2289.8,1973.2,1702.4,1461.4,1263.3,1090.2,946.76,818.74,713.87,624.95,549.83,489.29,431.8,391.76,337.81,305.2,272.34,243.78,227.54,228.23,206.55,184.34,158.46,153.97,142.42,127.95,120.36,111.7,100.38,93.716,79.157,82.549,82.839,95.29,83.175,67.944,86.46,77.003,66.477,74.009,66.004,72.344,77.37,77.477,67.012,51.659,61.054,73.978,79.234,77.141,65.301,45.746,41.224,45.166,52.774,65.026,61.68,48.45,46.159,41.851,53.797,65.041,58.839,64.048,45.334,40.216,53.599,51.063,40.72,51.17,51.872,55.264,50.971,48.679,36.275,43.073,48.924,58.38,57.525,48.618,38.016,25.412,37.512,54.531,59.328,47.702,44.555,36.168,34.166,37.344,47.61,49.382,44.203,40.247,39.697,31.661,38.138,31.371,36.565,44.799,56.257,43.378,39.299,29.858,31.646,39.437,43.333,47.671,34.258,28.835,20.432,15.437,44.921,46.312
FL56,O=C1C(C2=CC=C(OC)C=C2)COC3=C1C=CC(O)=C3,isoflavanone,aglycon,23828,22782,21713,20808,20138,19666,19280,18924,18517,18055,17425,16528,15330,13983,12744,11733,10915,10237,9632.5,9004.2,8292.8,7483.8,6565.3,5628.9,4767.5,4087.2,3605.3,3341.1,3251.8,3288.7,3411.4,3602.4,3844.8,4124,4442.2,4801.8,5193.3,5608.2,6068.1,6548,7063.6,7603.8,8155,8734.3,9313,9910,10500,11077,11624,12170,12659,13113,13524,13894,14194,14397,14492,14469,14332,14138,13926,13681,13362,12947,12414,11802,11181,10554,9946.6,9387,8879.7,8426.4,8030.9,7696.9,7442.9,7232.7,7081.8,6990,6936.5,6925.4,6950.3,7001.9,7067,7140.9,7218.4,7295.9,7370,7440.5,7522.2,7609,7675.2,7716.5,7746.8,7752.1,7714.9,7638.2,7514.4,7339,7140.4,6893,6625.8,6343.6,6068.7,5770.4,5472.4,5166.4,4843.6,4527,4196.1,3858.6,3507.8,3171,2833.2,2516.6,2222.5,1950,1704,1488.4,1289.2,1123.6,978.18,853.04,751.26,658.48,577.74,516.06,456.44,408.05,363.73,332.11,289.88,270.49,247.98,227.05,210.85,200.68,182.89,165.43,154.35,144.22,134.87,134.66,111.19,101.07,97.508,93.541,89.036,78.708,68.303,59.996,65.513,53.661,46.942,48.657,33.286,47.467,47.352,39.314,28.257,34.937,33.926,19.925,28.781,38.073,30.637,22.83,23.009,19.682,22.395,20.68,38.342,14.87,16.559,14.524,15.113,11.273,13.974,13.935,5.3221,11.772,5.7957,7.2931,16.188,17.135,17.237,12.95,13.731,15.279,0.90673,14.115,4.4902,11.76,14.473,12.924,11.273,3.556,7.9458,16.277,14.998,17.506,16.7,13.014,4.6438,9.8911,12.003,4.8614,20.578,2.5193,2.5961,15.138,11.081,19.106,20.015,8.3809,15.318,17.762,14.934,14.46,12.374,10.467,4.1319,12.31,18.108,14.179,5.9109,12.758,7.8562,22.869,8.5345,19.938,21.243
FL57,O=C1C(C2=CC=C(OC)C=C2)COC3=C1C=CC(OC)=C3,isoflavanone,aglycon,20680,21092,21446,21756,22049,22313,22464,22437,22251,21748,19119,18459,17827,16911,15715,14440,13336,12202,11004,9805.6,8576,7302.3,5802.6,4342.9,3609.4,3378.3,3297.3,3305.3,3370.7,3572.2,3812.2,4107.7,4476.1,4897.4,5408.8,5954.7,6552.6,7185.4,7935.1,8608.5,9219.7,9832.4,10458,11085,11725,12376,13027,13639,14248,14845,15415,15853,16118,16313,16436,16500,16379,16124,15751,15305,14859,14300,13708,13107,12415,11723,11093,10469,9776.6,9070.8,8353.1,7663.3,7053.9,6644.1,6431.1,6388.7,6374.7,6437.2,6501.2,6594.9,6688.6,6782.3,6876,6992.1,7112.2,7232.2,7352.3,7468.9,7584.7,7700.4,7798.7,7885.2,7943.5,7978.6,7950.2,7899,7717.3,7535.6,7300.1,7057.3,6814.5,6536,6212,5888,5564.1,5212,4837,4462,4084.3,3706.1,3327.9,2961.6,2601.3,2268.8,1954.8,1635.4,1304,1061.5,871.18,743.04,639.07,536.51,467.46,398.42,329.38,270.53,224.14,177.75,131.36,102.77,75.303,49.379,35.9,22.421,11.74,11.585,11.431,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383
FL58,O=C1C(C2=CC=C(OC)C=C2)COC3=C1C(OC)=CC(OC)=C3,isoflavanone,aglycon,36048,34071,32057,30292,29034,28189,27596,27062,26495,25816,24069,22527,20600,18730,16563,14497,12214,9471.5,6966.2,5297.1,3258.5,2159,1466,1228.8,1090.3,1039.8,993.77,1034.6,1075.4,1171.4,1268.5,1421.9,1580.2,1803.7,2045.6,2430.8,2837.5,3273.8,3765.5,4257.2,4748.9,5427.5,6141.6,6855.7,7499.1,8112.2,8725.3,9429.9,10261,11092,11920,12742,13564,14436,15388,16330,17157,17898,18471,19043,19546,20023,20350,20545,20600,20510,20234,19751,19154,18396,17612,16792,15973,15154,14306,13440,12574,11666,10757,9784.4,8744.8,7748.9,7082,6576.1,6230.8,5969.4,5743.1,5532,5341,5166.5,5029.5,4898.1,4782.4,4678.2,4573,4464.3,4355.6,4243.2,4122.2,4001.2,3894.1,3787.9,3681.8,3537.5,3391.7,3243.9,3058.7,2865.5,2653.6,2443,2247.6,2052.2,1887,1726.5,1579.9,1452.8,1325.6,1213.7,1106.8,1002.5,912.87,823.23,738.37,658.7,579.02,522.61,467.17,408.65,347.97,299.98,257.96,215.94,173.92,139.4,109.29,79.183,53.669,29.303,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623,26.623
